Epoch: 065, aver_loss : 0.06333, R@20: 0.0286, N@20: 0.0225, time:83.44 seconds
Epoch: 066, aver_loss : 0.06254, R@20: 0.0286, N@20: 0.0225, time:83.42 seconds
Epoch: 067, aver_loss : 0.06169, R@20: 0.0287, N@20: 0.0225, time:83.42 seconds
Epoch: 068, aver_loss : 0.06142, R@20: 0.0288, N@20: 0.0227, time:83.41 seconds
Epoch: 069, aver_loss : 0.06079, R@20: 0.0288, N@20: 0.0227, time:83.43 seconds
Epoch: 070, aver_loss : 0.06035, R@20: 0.0289, N@20: 0.0227, time:83.41 seconds
Epoch: 071, aver_loss : 0.05975, R@20: 0.0290, N@20: 0.0228, time:83.44 seconds
Epoch: 072, aver_loss : 0.05949, R@20: 0.0292, N@20: 0.0229, time:83.41 seconds
Epoch: 073, aver_loss : 0.05875, R@20: 0.0293, N@20: 0.0230, time:83.42 seconds
Epoch: 074, aver_loss : 0.05870, R@20: 0.0293, N@20: 0.0230, time:83.42 seconds
Epoch: 075, aver_loss : 0.05784, R@20: 0.0293, N@20: 0.0231, time:83.42 seconds
Epoch: 076, aver_loss : 0.05803, R@20: 0.0296, N@20: 0.0232, time:83.41 seconds
Epoch: 077, aver_loss : 0.05744, R@20: 0.0297, N@20: 0.0233, time:83.44 seconds
Epoch: 078, aver_loss : 0.05707, R@20: 0.0299, N@20: 0.0234, time:83.41 seconds
Epoch: 079, aver_loss : 0.05628, R@20: 0.0299, N@20: 0.0235, time:83.44 seconds
Epoch: 080, aver_loss : 0.05620, R@20: 0.0300, N@20: 0.0235, time:83.41 seconds
Epoch: 081, aver_loss : 0.05571, R@20: 0.0301, N@20: 0.0236, time:83.43 seconds
Epoch: 082, aver_loss : 0.05540, R@20: 0.0302, N@20: 0.0237, time:83.42 seconds
Epoch: 083, aver_loss : 0.05465, R@20: 0.0302, N@20: 0.0236, time:83.43 seconds
Epoch: 084, aver_loss : 0.05431, R@20: 0.0302, N@20: 0.0237, time:83.41 seconds
Epoch: 085, aver_loss : 0.05390, R@20: 0.0302, N@20: 0.0237, time:83.44 seconds
Epoch: 086, aver_loss : 0.05360, R@20: 0.0303, N@20: 0.0238, time:83.41 seconds
Epoch: 087, aver_loss : 0.05327, R@20: 0.0305, N@20: 0.0239, time:83.44 seconds
Epoch: 088, aver_loss : 0.05275, R@20: 0.0306, N@20: 0.0240, time:83.41 seconds
Epoch: 089, aver_loss : 0.05252, R@20: 0.0307, N@20: 0.0241, time:83.43 seconds
Epoch: 090, aver_loss : 0.05205, R@20: 0.0310, N@20: 0.0242, time:83.42 seconds
Epoch: 091, aver_loss : 0.05200, R@20: 0.0310, N@20: 0.0242, time:83.43 seconds
Epoch: 092, aver_loss : 0.05155, R@20: 0.0311, N@20: 0.0244, time:83.41 seconds
Epoch: 093, aver_loss : 0.05141, R@20: 0.0312, N@20: 0.0244, time:83.42 seconds
Epoch: 094, aver_loss : 0.05095, R@20: 0.0313, N@20: 0.0245, time:83.41 seconds
Epoch: 095, aver_loss : 0.05051, R@20: 0.0313, N@20: 0.0245, time:83.42 seconds
Epoch: 096, aver_loss : 0.05038, R@20: 0.0314, N@20: 0.0246, time:83.41 seconds
Epoch: 097, aver_loss : 0.05002, R@20: 0.0315, N@20: 0.0246, time:83.44 seconds
Epoch: 098, aver_loss : 0.04942, R@20: 0.0316, N@20: 0.0247, time:83.41 seconds
Epoch: 099, aver_loss : 0.04946, R@20: 0.0318, N@20: 0.0248, time:83.44 seconds
Epoch: 100, aver_loss : 0.04948, R@20: 0.0317, N@20: 0.0248, time:83.41 seconds
Epoch: 101, aver_loss : 0.04871, R@20: 0.0318, N@20: 0.0249, time:83.42 seconds
Epoch: 102, aver_loss : 0.04868, R@20: 0.0319, N@20: 0.0249, time:83.41 seconds
Epoch: 103, aver_loss : 0.04824, R@20: 0.0320, N@20: 0.0250, time:83.43 seconds
Epoch: 104, aver_loss : 0.04820, R@20: 0.0321, N@20: 0.0251, time:83.42 seconds
Epoch: 105, aver_loss : 0.04765, R@20: 0.0323, N@20: 0.0252, time:83.43 seconds
Epoch: 106, aver_loss : 0.04740, R@20: 0.0322, N@20: 0.0251, time:83.41 seconds
Epoch: 107, aver_loss : 0.04714, R@20: 0.0322, N@20: 0.0252, time:83.44 seconds
Epoch: 108, aver_loss : 0.04703, R@20: 0.0324, N@20: 0.0253, time:83.42 seconds
Epoch: 109, aver_loss : 0.04659, R@20: 0.0324, N@20: 0.0253, time:83.43 seconds
Epoch: 110, aver_loss : 0.04646, R@20: 0.0324, N@20: 0.0254, time:83.43 seconds
Epoch: 111, aver_loss : 0.04621, R@20: 0.0325, N@20: 0.0254, time:83.43 seconds
Epoch: 112, aver_loss : 0.04600, R@20: 0.0326, N@20: 0.0255, time:83.42 seconds
Epoch: 113, aver_loss : 0.04558, R@20: 0.0327, N@20: 0.0256, time:83.43 seconds
Epoch: 114, aver_loss : 0.04527, R@20: 0.0327, N@20: 0.0256, time:83.49 seconds
Epoch: 115, aver_loss : 0.04511, R@20: 0.0328, N@20: 0.0256, time:83.44 seconds
Epoch: 116, aver_loss : 0.04478, R@20: 0.0327, N@20: 0.0256, time:83.46 seconds
