Epoch: 001, aver_loss : 0.14119, R@20: 0.0476, N@20: 0.0392, time:17.90 seconds
Epoch: 002, aver_loss : 0.10270, R@20: 0.0530, N@20: 0.0435, time:17.88 seconds
Epoch: 003, aver_loss : 0.09456, R@20: 0.0545, N@20: 0.0448, time:17.89 seconds
Epoch: 004, aver_loss : 0.08936, R@20: 0.0559, N@20: 0.0462, time:18.03 seconds
Epoch: 005, aver_loss : 0.08664, R@20: 0.0562, N@20: 0.0464, time:17.88 seconds
Epoch: 006, aver_loss : 0.08463, R@20: 0.0569, N@20: 0.0469, time:17.89 seconds
Epoch: 007, aver_loss : 0.08250, R@20: 0.0580, N@20: 0.0477, time:17.88 seconds
Epoch: 008, aver_loss : 0.08105, R@20: 0.0575, N@20: 0.0473, time:17.88 seconds
Epoch: 009, aver_loss : 0.07908, R@20: 0.0588, N@20: 0.0485, time:17.89 seconds
Epoch: 010, aver_loss : 0.07745, R@20: 0.0589, N@20: 0.0484, time:17.88 seconds
Epoch: 011, aver_loss : 0.07588, R@20: 0.0593, N@20: 0.0489, time:17.88 seconds
Epoch: 012, aver_loss : 0.07447, R@20: 0.0596, N@20: 0.0491, time:17.89 seconds
Epoch: 013, aver_loss : 0.07363, R@20: 0.0601, N@20: 0.0496, time:17.88 seconds
Epoch: 014, aver_loss : 0.07236, R@20: 0.0604, N@20: 0.0498, time:17.89 seconds
Epoch: 015, aver_loss : 0.07172, R@20: 0.0605, N@20: 0.0500, time:17.89 seconds
Epoch: 016, aver_loss : 0.07110, R@20: 0.0608, N@20: 0.0502, time:17.88 seconds
Epoch: 017, aver_loss : 0.07055, R@20: 0.0608, N@20: 0.0501, time:17.88 seconds
Epoch: 018, aver_loss : 0.06923, R@20: 0.0612, N@20: 0.0506, time:17.88 seconds
Epoch: 019, aver_loss : 0.06780, R@20: 0.0617, N@20: 0.0509, time:17.88 seconds
Epoch: 020, aver_loss : 0.06700, R@20: 0.0615, N@20: 0.0508, time:17.89 seconds
Epoch: 021, aver_loss : 0.06684, R@20: 0.0617, N@20: 0.0510, time:17.89 seconds
Epoch: 022, aver_loss : 0.06605, R@20: 0.0614, N@20: 0.0508, time:17.89 seconds
Epoch: 023, aver_loss : 0.06558, R@20: 0.0614, N@20: 0.0509, time:17.88 seconds
Epoch: 024, aver_loss : 0.06506, R@20: 0.0616, N@20: 0.0510, time:17.89 seconds
