Epoch: 001, aver_loss : 0.12192, R@20: 0.0330, N@20: 0.0255, time:17.86 seconds
Epoch: 002, aver_loss : 0.08312, R@20: 0.0367, N@20: 0.0283, time:17.86 seconds
Epoch: 003, aver_loss : 0.07257, R@20: 0.0386, N@20: 0.0300, time:17.86 seconds
Epoch: 004, aver_loss : 0.06599, R@20: 0.0399, N@20: 0.0311, time:17.86 seconds
Epoch: 005, aver_loss : 0.06119, R@20: 0.0413, N@20: 0.0319, time:17.87 seconds
Epoch: 006, aver_loss : 0.05640, R@20: 0.0420, N@20: 0.0325, time:17.87 seconds
Epoch: 007, aver_loss : 0.05397, R@20: 0.0429, N@20: 0.0333, time:17.86 seconds
Epoch: 008, aver_loss : 0.05174, R@20: 0.0429, N@20: 0.0336, time:17.87 seconds
Epoch: 009, aver_loss : 0.04936, R@20: 0.0436, N@20: 0.0343, time:17.87 seconds
Epoch: 010, aver_loss : 0.04765, R@20: 0.0441, N@20: 0.0346, time:17.86 seconds
Epoch: 011, aver_loss : 0.04586, R@20: 0.0438, N@20: 0.0346, time:17.87 seconds
Epoch: 012, aver_loss : 0.04357, R@20: 0.0444, N@20: 0.0349, time:17.87 seconds
Epoch: 013, aver_loss : 0.04366, R@20: 0.0443, N@20: 0.0347, time:17.87 seconds
Epoch: 014, aver_loss : 0.04239, R@20: 0.0444, N@20: 0.0350, time:17.88 seconds
Epoch: 015, aver_loss : 0.04075, R@20: 0.0439, N@20: 0.0346, time:17.87 seconds
Epoch: 016, aver_loss : 0.03971, R@20: 0.0440, N@20: 0.0346, time:17.87 seconds
Epoch: 017, aver_loss : 0.03807, R@20: 0.0440, N@20: 0.0347, time:17.88 seconds
Epoch: 018, aver_loss : 0.03807, R@20: 0.0439, N@20: 0.0344, time:17.88 seconds
Epoch: 019, aver_loss : 0.03749, R@20: 0.0443, N@20: 0.0347, time:17.88 seconds
Epoch: 020, aver_loss : 0.03654, R@20: 0.0436, N@20: 0.0343, time:17.88 seconds
Epoch: 021, aver_loss : 0.03562, R@20: 0.0434, N@20: 0.0342, time:17.87 seconds
Epoch: 022, aver_loss : 0.03466, R@20: 0.0436, N@20: 0.0343, time:17.88 seconds
Epoch: 023, aver_loss : 0.03464, R@20: 0.0431, N@20: 0.0340, time:17.88 seconds
Epoch: 024, aver_loss : 0.03375, R@20: 0.0435, N@20: 0.0342, time:17.87 seconds
