Epoch: 001, aver_loss : 0.12809, R@20: 0.0514, N@20: 0.0420, time:20.07 seconds
Epoch: 002, aver_loss : 0.08788, R@20: 0.0561, N@20: 0.0460, time:20.07 seconds
Epoch: 003, aver_loss : 0.07547, R@20: 0.0586, N@20: 0.0481, time:20.08 seconds
Epoch: 004, aver_loss : 0.06745, R@20: 0.0607, N@20: 0.0496, time:20.08 seconds
Epoch: 005, aver_loss : 0.06190, R@20: 0.0618, N@20: 0.0504, time:20.08 seconds
Epoch: 006, aver_loss : 0.05727, R@20: 0.0632, N@20: 0.0518, time:20.09 seconds
Epoch: 007, aver_loss : 0.05246, R@20: 0.0626, N@20: 0.0512, time:20.08 seconds
Epoch: 008, aver_loss : 0.04948, R@20: 0.0634, N@20: 0.0519, time:20.08 seconds
Epoch: 009, aver_loss : 0.04621, R@20: 0.0644, N@20: 0.0526, time:20.10 seconds
Epoch: 010, aver_loss : 0.04408, R@20: 0.0648, N@20: 0.0531, time:20.10 seconds
Epoch: 011, aver_loss : 0.04168, R@20: 0.0641, N@20: 0.0526, time:20.09 seconds
Epoch: 012, aver_loss : 0.04048, R@20: 0.0644, N@20: 0.0530, time:20.09 seconds
Epoch: 013, aver_loss : 0.03878, R@20: 0.0641, N@20: 0.0527, time:20.09 seconds
Epoch: 014, aver_loss : 0.03787, R@20: 0.0638, N@20: 0.0523, time:20.10 seconds
Epoch: 015, aver_loss : 0.03638, R@20: 0.0640, N@20: 0.0526, time:20.08 seconds
Epoch: 016, aver_loss : 0.03470, R@20: 0.0638, N@20: 0.0523, time:20.09 seconds
