Epoch: 001, aver_loss : 0.16511, R@20: 0.0256, N@20: 0.0204, time:31.14 seconds
Epoch: 002, aver_loss : 0.11317, R@20: 0.0278, N@20: 0.0221, time:31.27 seconds
Epoch: 003, aver_loss : 0.10107, R@20: 0.0285, N@20: 0.0227, time:31.26 seconds
Epoch: 004, aver_loss : 0.09435, R@20: 0.0301, N@20: 0.0239, time:31.31 seconds
Epoch: 005, aver_loss : 0.09047, R@20: 0.0305, N@20: 0.0243, time:31.35 seconds
Epoch: 006, aver_loss : 0.08614, R@20: 0.0315, N@20: 0.0251, time:31.33 seconds
Epoch: 007, aver_loss : 0.08237, R@20: 0.0313, N@20: 0.0249, time:31.37 seconds
Epoch: 008, aver_loss : 0.07944, R@20: 0.0321, N@20: 0.0255, time:31.36 seconds
Epoch: 009, aver_loss : 0.07716, R@20: 0.0323, N@20: 0.0256, time:31.34 seconds
Epoch: 010, aver_loss : 0.07449, R@20: 0.0330, N@20: 0.0262, time:31.39 seconds
Epoch: 011, aver_loss : 0.07339, R@20: 0.0335, N@20: 0.0264, time:31.34 seconds
Epoch: 012, aver_loss : 0.07046, R@20: 0.0337, N@20: 0.0267, time:31.39 seconds
Epoch: 013, aver_loss : 0.06969, R@20: 0.0345, N@20: 0.0273, time:31.36 seconds
Epoch: 014, aver_loss : 0.06828, R@20: 0.0353, N@20: 0.0280, time:31.33 seconds
Epoch: 015, aver_loss : 0.06587, R@20: 0.0348, N@20: 0.0275, time:31.39 seconds
Epoch: 016, aver_loss : 0.06503, R@20: 0.0362, N@20: 0.0286, time:31.33 seconds
Epoch: 017, aver_loss : 0.06368, R@20: 0.0362, N@20: 0.0286, time:31.39 seconds
Epoch: 018, aver_loss : 0.06230, R@20: 0.0367, N@20: 0.0290, time:31.35 seconds
Epoch: 019, aver_loss : 0.06117, R@20: 0.0373, N@20: 0.0294, time:31.33 seconds
Epoch: 020, aver_loss : 0.05953, R@20: 0.0369, N@20: 0.0290, time:31.32 seconds
Epoch: 021, aver_loss : 0.05903, R@20: 0.0372, N@20: 0.0292, time:31.38 seconds
Epoch: 022, aver_loss : 0.05831, R@20: 0.0374, N@20: 0.0292, time:31.29 seconds
Epoch: 023, aver_loss : 0.05732, R@20: 0.0377, N@20: 0.0296, time:31.34 seconds
Epoch: 024, aver_loss : 0.05625, R@20: 0.0378, N@20: 0.0297, time:31.36 seconds
Epoch: 025, aver_loss : 0.05593, R@20: 0.0383, N@20: 0.0301, time:31.41 seconds
Epoch: 026, aver_loss : 0.05462, R@20: 0.0391, N@20: 0.0307, time:31.35 seconds
Epoch: 027, aver_loss : 0.05382, R@20: 0.0388, N@20: 0.0305, time:31.33 seconds
Epoch: 028, aver_loss : 0.05324, R@20: 0.0386, N@20: 0.0303, time:31.35 seconds
Epoch: 029, aver_loss : 0.05250, R@20: 0.0391, N@20: 0.0308, time:31.35 seconds
Epoch: 030, aver_loss : 0.05198, R@20: 0.0395, N@20: 0.0312, time:31.41 seconds
Epoch: 031, aver_loss : 0.05116, R@20: 0.0389, N@20: 0.0305, time:31.34 seconds
Epoch: 032, aver_loss : 0.05122, R@20: 0.0393, N@20: 0.0310, time:31.43 seconds
Epoch: 033, aver_loss : 0.05001, R@20: 0.0394, N@20: 0.0309, time:31.37 seconds
Epoch: 034, aver_loss : 0.04948, R@20: 0.0395, N@20: 0.0310, time:31.34 seconds
Epoch: 035, aver_loss : 0.04879, R@20: 0.0404, N@20: 0.0318, time:31.40 seconds
Epoch: 036, aver_loss : 0.04880, R@20: 0.0405, N@20: 0.0319, time:31.33 seconds
Epoch: 037, aver_loss : 0.04737, R@20: 0.0402, N@20: 0.0316, time:31.37 seconds
Epoch: 038, aver_loss : 0.04709, R@20: 0.0403, N@20: 0.0316, time:31.35 seconds
Epoch: 039, aver_loss : 0.04624, R@20: 0.0405, N@20: 0.0320, time:31.36 seconds
