Epoch: 001, aver_loss : 0.11238, R@20: 0.0560, N@20: 0.0462, time:17.89 seconds
Epoch: 002, aver_loss : 0.08041, R@20: 0.0589, N@20: 0.0485, time:17.87 seconds
Epoch: 003, aver_loss : 0.06865, R@20: 0.0602, N@20: 0.0496, time:17.87 seconds
Epoch: 004, aver_loss : 0.06240, R@20: 0.0620, N@20: 0.0509, time:17.87 seconds
Epoch: 005, aver_loss : 0.05705, R@20: 0.0627, N@20: 0.0515, time:17.87 seconds
Epoch: 006, aver_loss : 0.05362, R@20: 0.0638, N@20: 0.0527, time:17.87 seconds
Epoch: 007, aver_loss : 0.05010, R@20: 0.0629, N@20: 0.0516, time:17.88 seconds
Epoch: 008, aver_loss : 0.04826, R@20: 0.0643, N@20: 0.0529, time:17.88 seconds
Epoch: 009, aver_loss : 0.04609, R@20: 0.0647, N@20: 0.0529, time:17.88 seconds
Epoch: 010, aver_loss : 0.04348, R@20: 0.0645, N@20: 0.0530, time:17.87 seconds
Epoch: 011, aver_loss : 0.04185, R@20: 0.0639, N@20: 0.0526, time:17.88 seconds
Epoch: 012, aver_loss : 0.04099, R@20: 0.0652, N@20: 0.0537, time:17.87 seconds
Epoch: 013, aver_loss : 0.03918, R@20: 0.0647, N@20: 0.0533, time:17.87 seconds
Epoch: 014, aver_loss : 0.03725, R@20: 0.0641, N@20: 0.0528, time:17.87 seconds
Epoch: 015, aver_loss : 0.03499, R@20: 0.0636, N@20: 0.0525, time:17.87 seconds
Epoch: 016, aver_loss : 0.03423, R@20: 0.0631, N@20: 0.0521, time:17.87 seconds
Epoch: 017, aver_loss : 0.03233, R@20: 0.0622, N@20: 0.0516, time:17.87 seconds
Epoch: 018, aver_loss : 0.03137, R@20: 0.0624, N@20: 0.0516, time:17.87 seconds
Epoch: 019, aver_loss : 0.03019, R@20: 0.0621, N@20: 0.0513, time:17.88 seconds
Epoch: 020, aver_loss : 0.02932, R@20: 0.0606, N@20: 0.0502, time:17.88 seconds
Epoch: 021, aver_loss : 0.02851, R@20: 0.0605, N@20: 0.0499, time:17.87 seconds
Epoch: 022, aver_loss : 0.02790, R@20: 0.0600, N@20: 0.0495, time:17.87 seconds
Epoch: 023, aver_loss : 0.02737, R@20: 0.0602, N@20: 0.0499, time:17.88 seconds
Epoch: 024, aver_loss : 0.02664, R@20: 0.0598, N@20: 0.0498, time:17.87 seconds
Epoch: 025, aver_loss : 0.02589, R@20: 0.0588, N@20: 0.0488, time:17.88 seconds
Epoch: 026, aver_loss : 0.02532, R@20: 0.0591, N@20: 0.0491, time:17.88 seconds
Epoch: 027, aver_loss : 0.02489, R@20: 0.0588, N@20: 0.0490, time:17.87 seconds
Epoch: 028, aver_loss : 0.02507, R@20: 0.0586, N@20: 0.0487, time:17.87 seconds
Epoch: 029, aver_loss : 0.02430, R@20: 0.0577, N@20: 0.0477, time:17.88 seconds
Epoch: 030, aver_loss : 0.02398, R@20: 0.0581, N@20: 0.0481, time:17.87 seconds
Epoch: 031, aver_loss : 0.02384, R@20: 0.0575, N@20: 0.0475, time:17.88 seconds
