Epoch: 001, aver_loss : 0.09056, R@20: 0.0568, N@20: 0.0468, time:18.01 seconds
Epoch: 002, aver_loss : 0.06003, R@20: 0.0591, N@20: 0.0484, time:17.99 seconds
Epoch: 003, aver_loss : 0.04927, R@20: 0.0617, N@20: 0.0509, time:17.99 seconds
Epoch: 004, aver_loss : 0.04266, R@20: 0.0626, N@20: 0.0514, time:17.98 seconds
Epoch: 005, aver_loss : 0.03913, R@20: 0.0631, N@20: 0.0520, time:17.99 seconds
Epoch: 006, aver_loss : 0.03530, R@20: 0.0640, N@20: 0.0526, time:17.99 seconds
Epoch: 007, aver_loss : 0.03133, R@20: 0.0637, N@20: 0.0522, time:17.99 seconds
Epoch: 008, aver_loss : 0.02867, R@20: 0.0624, N@20: 0.0513, time:17.99 seconds
Epoch: 009, aver_loss : 0.02559, R@20: 0.0625, N@20: 0.0516, time:17.99 seconds
Epoch: 010, aver_loss : 0.02334, R@20: 0.0614, N@20: 0.0507, time:17.99 seconds
Epoch: 011, aver_loss : 0.02224, R@20: 0.0608, N@20: 0.0504, time:17.99 seconds
Epoch: 012, aver_loss : 0.02116, R@20: 0.0601, N@20: 0.0497, time:17.99 seconds
Epoch: 013, aver_loss : 0.02021, R@20: 0.0583, N@20: 0.0483, time:17.98 seconds
Epoch: 014, aver_loss : 0.01941, R@20: 0.0584, N@20: 0.0485, time:17.99 seconds
Epoch: 015, aver_loss : 0.01857, R@20: 0.0572, N@20: 0.0473, time:17.99 seconds
Epoch: 016, aver_loss : 0.01803, R@20: 0.0584, N@20: 0.0480, time:17.99 seconds
Epoch: 017, aver_loss : 0.01716, R@20: 0.0569, N@20: 0.0470, time:17.99 seconds
Epoch: 018, aver_loss : 0.01660, R@20: 0.0568, N@20: 0.0471, time:17.99 seconds
Epoch: 019, aver_loss : 0.01647, R@20: 0.0557, N@20: 0.0462, time:17.99 seconds
Epoch: 020, aver_loss : 0.01598, R@20: 0.0546, N@20: 0.0454, time:17.99 seconds
Epoch: 021, aver_loss : 0.01607, R@20: 0.0549, N@20: 0.0457, time:17.98 seconds
Epoch: 022, aver_loss : 0.01557, R@20: 0.0550, N@20: 0.0455, time:17.98 seconds
